,index,Unnamed: 0,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,158,158,600309.XSHG,600309,万华化学,XSHG,2021-01-04,91.04,91.04,90.3,95.19,90.0,94.12,20779108,1938645348,56821,0.0146,0.9883009195,134003952368.0,295512949992.0,0.0338,38.9866,41.4335,6.7244,1,93.29799999999999
1,159,159,600309.XSHG,600309,万华化学,XSHG,2021-01-05,94.12,94.12,93.8,98.8,93.25,97.62,24627077,2378965761,57673,0.0173,0.9883009195,138987099768.0,306502063092.0,0.0372,40.4364,42.9742,6.9745,1,96.6
2,160,160,600309.XSHG,600309,万华化学,XSHG,2021-01-06,97.62,97.62,97.7,100.23,95.9,98.42,20736405,2039655420,54166,0.0146,0.9883009195,140126104888.0,309013860372.0,0.0082,40.7678,43.3264,7.0316,1,98.361
3,161,161,600309.XSHG,600309,万华化学,XSHG,2021-01-07,98.42,98.42,103.8,108.26,102.59,106.99,55305421,5893180165,94971,0.0388,0.9883009195,152327697236.0,335921488734.0,0.0871,44.3176,47.0991,7.6439,1,106.557
4,162,162,600309.XSHG,600309,万华化学,XSHG,2021-01-08,106.99,106.99,107.0,109.58,106.7,109.0,28583705,3088863128,74966,0.0201,0.9883009195,155189447600.0,342232379400.0,0.0188,45.1502,47.9839,7.7875,1,108.064
5,163,163,600309.XSHG,600309,万华化学,XSHG,2021-01-11,109.0,109.0,108.97,111.17,106.32,108.67,24837309,2712871154,68286,0.0174,0.9883009195,154719607988.0,341196263022.0,-0.003,45.0135,47.8386,7.7639,1,109.226
6,164,164,600309.XSHG,600309,万华化学,XSHG,2021-01-12,108.67,108.67,107.53,113.8,107.18,113.01,25284811,2804848806,65949,0.0178,0.9883009195,160898710764.0,354822763266.0,0.0399,46.8113,49.7492,8.074,1,110.93
7,165,165,600309.XSHG,600309,万华化学,XSHG,2021-01-13,113.01,113.01,113.85,118.18,112.0,113.69,25014992,2879791547,69346,0.0176,0.9883009195,161866865116.0,356957790954.0,0.006,47.0929,50.0485,8.1226,1,115.12299999999999
8,166,166,600309.XSHG,600309,万华化学,XSHG,2021-01-14,113.69,113.69,111.56,113.57,108.61,109.65,23226723,2569565701,66585,0.0163,0.9883009195,156114889260.0,344273214690.0,-0.0355,45.4195,48.2701,7.834,1,110.63
9,167,167,600309.XSHG,600309,万华化学,XSHG,2021-01-15,109.65,109.65,110.6,110.96,105.0,107.7,21945295,2359701186,68518,0.0154,0.9883009195,153338564280.0,338150708820.0,-0.0178,44.6117,47.4116,7.6946,1,107.527
10,168,168,600309.XSHG,600309,万华化学,XSHG,2021-01-18,107.7,107.7,108.29,111.79,106.15,109.8,19395570,2125975528,61972,0.0136,0.9883009195,156328452720.0,344744176680.0,0.0195,45.4816,48.3361,7.8447,1,109.611
11,169,169,600309.XSHG,600309,万华化学,XSHG,2021-01-19,109.8,109.8,109.91,112.21,106.0,107.49,19254043,2089901480,58212,0.0135,0.9883009195,153039575436.0,337491362034.0,-0.021,44.5248,47.3192,7.6796,1,108.544
12,170,170,600309.XSHG,600309,万华化学,XSHG,2021-01-20,107.49,107.49,108.5,111.22,108.1,109.95,13910116,1530773576,53853,0.0098,0.9883009195,156542016180.0,345215138670.0,0.0229,45.5437,48.4021,7.8554,1,110.04799999999999
13,171,171,600309.XSHG,600309,万华化学,XSHG,2021-01-21,109.95,109.95,111.2,116.7,110.49,113.44,24393412,2788167982,75680,0.0171,0.9883009195,161510926016.0,356172854304.0,0.0317,46.9894,49.9385,8.1047,1,114.3
14,172,172,600309.XSHG,600309,万华化学,XSHG,2021-01-22,113.44,113.44,113.41,118.28,112.55,116.49,16485259,1920417014,56574,0.0116,0.9883009195,165853383036.0,365749081434.0,0.0269,48.2528,51.2812,8.3226,1,116.493
15,173,173,600309.XSHG,600309,万华化学,XSHG,2021-01-25,116.49,116.49,116.9,119.3,114.41,116.51,19506458,2282324686,65211,0.0137,0.9883009195,165881858164.0,365811876366.0,0.0002,48.261,51.29,8.3241,1,117.00399999999999
16,174,174,600309.XSHG,600309,万华化学,XSHG,2021-01-26,116.51,116.51,115.29,118.2,113.69,117.0,13886840,1616892132,48045,0.0098,0.9883009195,166579498800.0,367350352200.0,0.0042,48.464,51.5057,8.3591,1,116.43299999999999
17,175,175,600309.XSHG,600309,万华化学,XSHG,2021-01-27,117.0,117.0,118.03,118.9,112.33,115.31,18456584,2125884031,62666,0.013000000000000001,0.9883009195,164173350484.0,362044180446.0,-0.0144,47.763999999999996,50.7617,8.2383,1,115.18299999999999
18,176,176,600309.XSHG,600309,万华化学,XSHG,2021-01-28,115.31,115.31,113.53,115.88,110.5,111.37,16130100,1818237849,52634,0.0113,0.9883009195,158563750268.0,349673578842.0,-0.0342,46.1319,49.0272,7.9568,1,112.723
19,177,177,600309.XSHG,600309,万华化学,XSHG,2021-01-29,111.37,111.37,114.76,115.38,110.5,111.8,16400013,1854946607,55103,0.0115,0.9883009195,159175965520.0,351023669880.0,0.0039,46.3101,49.2165,7.9876,1,113.10600000000001
20,178,178,600309.XSHG,600309,万华化学,XSHG,2021-02-01,111.8,111.8,113.44,121.07,113.44,121.07,27528156,3266915916,75038,0.0193,0.9883009195,172374187348.0,380129120862.0,0.0829,50.1499,53.2974,8.6499,1,118.675
21,179,179,600309.XSHG,600309,万华化学,XSHG,2021-02-02,121.07,121.07,121.19,121.29,115.55,121.08,23055752,2752560632,79349,0.0162,0.9883009195,172388424912.0,380160518328.0,0.0001,50.153999999999996,53.3018,8.6506,1,119.387
22,180,180,600309.XSHG,600309,万华化学,XSHG,2021-02-03,121.08,121.08,122.0,126.37,119.76,123.19,22275342,2764631581,71370,0.0156,0.9883009195,175392550916.0,386785383654.0,0.0174,51.028,54.2306,8.8013,1,124.11200000000001
23,181,181,600309.XSHG,600309,万华化学,XSHG,2021-02-04,123.19,123.19,123.6,130.4,123.2,130.0,23835728,3065275599,67414,0.0167,0.9883009195,185088332000.0,408167058000.0,0.0553,53.8489,57.2285,9.2879,1,128.6
24,182,182,600309.XSHG,600309,万华化学,XSHG,2021-02-05,130.0,130.0,131.3,131.89,122.66,123.75,28830973,3665209494,87877,0.0202,0.9883009195,176189854500.0,388543641750.0,-0.0481,51.26,54.4772,8.8413,1,127.12700000000001
25,183,183,600309.XSHG,600309,万华化学,XSHG,2021-02-08,123.75,123.75,123.77,131.89,120.78,131.89,22902222,2933087879,76075,0.0161,0.9883009195,187779231596.0,414101179074.0,0.0658,54.6318,58.0605,9.4229,1,128.07
26,184,184,600309.XSHG,600309,万华化学,XSHG,2021-02-09,131.89,131.89,133.29,137.39,130.5,137.39,24064419,3239089678,70907,0.0169,0.9883009195,195609891796.0,431369785374.0,0.0417,56.91,60.4817,9.8158,1,134.601
27,185,185,600309.XSHG,600309,万华化学,XSHG,2021-02-10,137.39,137.39,135.5,141.09,135.32,140.42,19201336,2674446267,54229,0.0135,0.9883009195,199923873688.0,440883217572.0,0.0221,58.1651,61.8156,10.0323,1,139.284
28,186,186,600309.XSHG,600309,万华化学,XSHG,2021-02-18,140.42,140.42,146.5,150.18,141.87,143.98,30570648,4464943311,85938,0.0215,0.9883009195,204992446472.0,452060715468.0,0.0254,59.6397,63.3828,10.2867,1,146.053
29,187,187,600309.XSHG,600309,万华化学,XSHG,2021-02-19,143.98,143.98,142.11,146.3,131.77,137.48,31842389,4369687268,93306,0.0224,0.9883009195,195738029872.0,431652362568.0,-0.0451,56.9473,60.5214,9.8223,1,137.22899999999998
30,188,188,600309.XSHG,600309,万华化学,XSHG,2021-02-22,137.48,137.48,140.0,141.85,134.55,135.35,37258483,5124062160,106061,0.0262,0.9883009195,192705428740.0,424964702310.0,-0.0155,56.065,59.5837,9.6701,1,137.52700000000002
31,189,189,600309.XSHG,600309,万华化学,XSHG,2021-02-23,135.35,135.35,135.63,137.5,128.9,130.79,28745470,3818594462,96567,0.0202,0.9883009195,186213099556.0,410647457814.0,-0.0337,54.1761,57.5763,9.3443,1,132.842
32,190,190,600309.XSHG,600309,万华化学,XSHG,2021-02-24,130.79,130.79,133.33,135.96,126.13,128.82,43807430,5747916484,117462,0.0308,0.9883009195,183408299448.0,404462157012.0,-0.0151,53.3601,56.7091,9.2036,1,131.209
33,191,191,600309.XSHG,600309,万华化学,XSHG,2021-02-25,128.82,128.82,135.13,137.5,131.77,133.35,29634087,3987642307,100865,0.0208,0.9883009195,189857915940.0,418685209110.0,0.0352,55.2365,58.7033,9.5272,1,134.563
34,192,192,600309.XSHG,600309,万华化学,XSHG,2021-02-26,133.35,133.35,131.9,137.2,130.77,130.8,34315770,4581239632,104779,0.0241,0.9883009195,186227337120.0,410678855280.0,-0.0191,54.1803,57.5807,9.345,1,133.502
35,193,193,600309.XSHG,600309,万华化学,XSHG,2021-03-01,130.8,130.8,131.1,133.49,125.55,130.14,38601831,5001401856,105356,0.0271,0.9883009195,185287657896.0,408606622524.0,-0.005,53.9069,57.2902,9.2979,1,129.564
36,194,194,600309.XSHG,600309,万华化学,XSHG,2021-03-02,130.14,130.14,132.0,132.09,121.2,122.42,42559249,5349493517,127899,0.0299,0.9883009195,174296258488.0,384367778772.0,-0.0593,50.7091,53.8917,8.7463,1,125.695
37,195,195,600309.XSHG,600309,万华化学,XSHG,2021-03-03,122.42,122.42,123.07,126.6,122.8,125.85,23746626,2971333638,82625,0.0167,0.9883009195,179179742940.0,395137109610.0,0.027999999999999997,52.1299,55.4016,8.9914,1,125.12700000000001
38,196,196,600309.XSHG,600309,万华化学,XSHG,2021-03-04,125.85,125.85,123.35,124.7,113.27,114.32,44286733,5167819460,121153,0.0311,0.9883009195,162763831648.0,358935831312.0,-0.0916,47.3539,50.3259,8.1676,1,116.69
