,index,Unnamed: 0,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
10,405,405,600585.XSHG,600585,海螺水泥,XSHG,2021-01-18,55.58,55.58,55.01,55.28,54.16,55.18,36663268,2006957405,71080,0.0092,1.0,220703589468.0,292415517468.0,-0.0072,8.4768,8.8722,1.9298,1,54.74
11,406,406,600585.XSHG,600585,海螺水泥,XSHG,2021-01-19,55.18,55.18,55.33,55.5,54.0,55.07,39926495,2180116660,70128,0.01,1.0,220263622182.0,291832594182.0,-0.002,8.4599,8.8545,1.926,1,54.603
12,407,407,600585.XSHG,600585,海螺水泥,XSHG,2021-01-20,55.07,55.07,55.0,55.0,53.89,54.0,31226787,1693535588,65271,0.0078,1.0,215983940400.0,286162340400.0,-0.0194,8.2955,8.6825,1.8885,1,54.233000000000004
13,408,408,600585.XSHG,600585,海螺水泥,XSHG,2021-01-21,54.0,54.0,54.0,54.19,53.01,53.25,46311674,2471868258,92241,0.0116,1.0,212984163450.0,282187863450.0,-0.0139,8.1803,8.5619,1.8623,1,53.375
14,409,409,600585.XSHG,600585,海螺水泥,XSHG,2021-01-22,53.25,53.25,53.3,53.37,52.11,52.28,37590552,1973095519,77936,0.0094,1.0,209104451928.0,277047539928.0,-0.0182,8.0313,8.4059,1.8284,1,52.489
15,410,410,600585.XSHG,600585,海螺水泥,XSHG,2021-01-25,52.28,52.28,52.05,53.57,51.31,53.04,58857853,3079266557,114126,0.0147,1.0,212144225904.0,281075009904.0,0.0145,8.148,8.5281,1.855,1,52.317
16,411,411,600585.XSHG,600585,海螺水泥,XSHG,2021-01-26,53.04,53.04,52.3,52.8,51.4,51.93,47903790,2481281548,87952,0.012,1.0,207704556018.0,275192784018.0,-0.0209,7.9775,8.3496,1.8162,1,51.797
17,412,412,600585.XSHG,600585,海螺水泥,XSHG,2021-01-27,51.93,51.93,51.98,52.79,51.55,51.7,35909959,1869223289,69981,0.009000000000000001,1.0,206784624420.0,273973944420.0,-0.0044,7.9422,8.3126,1.8081,1,52.053000000000004
18,413,413,600585.XSHG,600585,海螺水泥,XSHG,2021-01-28,51.7,51.7,51.21,51.39,50.52,50.8,38944230,1978888037,91323,0.0097,1.0,203184892080.0,269204572080.0,-0.0174,7.8039,8.1679,1.7766,1,50.813
19,414,414,600585.XSHG,600585,海螺水泥,XSHG,2021-01-29,50.8,50.8,50.99,51.2,50.0,50.44,41319283,2081962675,86969,0.0103,1.0,201744999144.0,267296823144.0,-0.0071,7.7486,8.1101,1.764,1,50.387
