,index,Unnamed: 0,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,474,474,600690.XSHG,600690,海尔智家,XSHG,2021-01-04,29.21,29.21,29.06,30.49,28.36,30.01,97985525,2899799944,103225,0.0155,1.0,189319666527.0,270925670464.0,0.0274,40.2331,32.2505,5.3713,1,29.594
1,475,475,600690.XSHG,600690,海尔智家,XSHG,2021-01-05,30.01,30.01,29.7,32.13,29.51,31.78,88275700,2729662389,111773,0.013999999999999999,1.0,200485804806.0,286904958592.0,0.059000000000000004,42.6061,34.1526,5.6881,1,30.921999999999997
2,476,476,600690.XSHG,600690,海尔智家,XSHG,2021-01-06,31.78,31.78,31.91,33.05,31.47,31.65,78097587,2501303700,107739,0.0124,1.0,199665692955.0,285731338560.0,-0.0041,42.4318,34.0129,5.6649,1,32.028
3,477,477,600690.XSHG,600690,海尔智家,XSHG,2021-01-07,31.65,31.65,31.7,32.98,31.63,32.68,77709025,2510547841,98389,0.0123,1.0,206163502236.0,295030020352.0,0.0325,43.8127,35.1198,5.8492,1,32.306999999999995
4,478,478,600690.XSHG,600690,海尔智家,XSHG,2021-01-08,32.68,32.68,32.45,33.59,31.91,33.0,59308002,1939552141,83017,0.0094,1.0,208182239100.0,297918931200.0,0.0098,44.2417,35.4637,5.9065,1,32.703
5,479,479,600690.XSHG,600690,海尔智家,XSHG,2021-01-11,33.0,33.0,33.0,34.02,32.12,32.67,66668204,2215444333,89117,0.0106,1.0,206100416709.0,294939741888.0,-0.01,43.7993,35.109,5.8474,1,33.231
6,480,480,600690.XSHG,600690,海尔智家,XSHG,2021-01-12,32.67,32.67,32.72,35.22,32.16,35.2,83326004,2856176411,102223,0.0132,1.0,222061055040.0,317780193280.0,0.0774,47.1912,37.8279,6.3003,1,34.277
7,481,481,600690.XSHG,600690,海尔智家,XSHG,2021-01-13,35.2,35.2,35.35,35.79,33.99,35.13,63371891,2215400581,94347,0.01,1.0,221619456351.0,317148244032.0,-0.002,47.0973,37.7527,6.2877,1,34.959
8,482,482,600690.XSHG,600690,海尔智家,XSHG,2021-01-14,35.13,35.13,34.77,35.28,33.58,33.85,43642632,1501066456,73145,0.0069,1.0,213544508895.0,305592600640.0,-0.0364,45.3813,36.3771,6.0586,1,34.394
9,483,483,600690.XSHG,600690,海尔智家,XSHG,2021-01-15,33.85,33.85,33.4,33.7,32.5,33.31,60356156,1999719886,79809,0.0096,1.0,210137890437.0,300717563584.0,-0.016,44.6573,35.7968,5.962000000000001,1,33.132
10,484,484,600690.XSHG,600690,海尔智家,XSHG,2021-01-18,33.31,33.31,33.3,35.19,33.3,34.96,51025634,1767597209,80141,0.0081,1.0,220547002392.0,315613510144.0,0.0495,46.8694,37.57,6.2573,1,34.641
11,485,485,600690.XSHG,600690,海尔智家,XSHG,2021-01-19,34.96,34.96,34.97,35.06,32.8,33.76,63570028,2140277770,92114,0.0101,1.0,212976739152.0,304780094464.0,-0.0343,45.2606,36.2804,6.0425,1,33.668
12,486,486,600690.XSHG,600690,海尔智家,XSHG,2021-01-20,33.76,33.76,33.35,33.64,32.74,33.25,47726479,1580921666,66290,0.0076,1.0,209759377275.0,300175892800.0,-0.0151,44.5769,35.7323,5.9513,1,33.125
13,487,487,600690.XSHG,600690,海尔智家,XSHG,2021-01-21,33.25,33.25,33.43,34.68,33.26,34.0,55430962,1888378986,83603,0.0088,1.0,214490791800.0,306946777600.0,0.0226,45.5824,36.5383,6.0855,1,34.067
