,index,Unnamed: 0,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,237,237,600436.XSHG,600436,片仔癀,XSHG,2021-01-04,267.51,267.51,272.43,282.85,269.0,279.98,5685370,1581092993,26709,0.0094,1.0,168916749656.0,168916749656.0,0.0466,105.9527,95.3295,22.4435,1,278.099
1,238,238,600436.XSHG,600436,片仔癀,XSHG,2021-01-05,279.98,279.98,280.0,300.0,278.05,296.38,7904317,2313037066,34706,0.0131,1.0,178811151736.0,178811151736.0,0.0586,112.1589,100.9135,23.7581,1,292.63
2,239,239,600436.XSHG,600436,片仔癀,XSHG,2021-01-06,296.38,296.38,297.5,301.98,288.0,294.45,5033897,1477845654,26198,0.0083,1.0,177646749540.0,177646749540.0,-0.0065,111.4286,100.2564,23.6034,1,293.579
3,240,240,600436.XSHG,600436,片仔癀,XSHG,2021-01-07,294.45,294.45,295.26,302.58,292.29,299.91,4406617,1312090105,23537,0.0073,1.0,180940861452.0,180940861452.0,0.0185,113.4948,102.1154,24.0411,1,297.755
4,241,241,600436.XSHG,600436,片仔癀,XSHG,2021-01-08,299.91,299.91,301.15,306.76,291.88,296.59,4324808,1289346495,24216,0.0072,1.0,178937848348.0,178937848348.0,-0.0111,112.2384,100.985,23.775,1,298.128
5,242,242,600436.XSHG,600436,片仔癀,XSHG,2021-01-11,296.59,296.59,292.35,302.68,290.01,294.18,5461910,1615551093,29664,0.0091,1.0,177483853896.0,177483853896.0,-0.0081,111.3264,100.1645,23.5818,1,295.785
6,243,243,600436.XSHG,600436,片仔癀,XSHG,2021-01-12,294.18,294.18,291.46,300.0,290.1,300.0,3459928,1029884089,19617,0.0057,1.0,180995160000.0,180995160000.0,0.0198,113.5288,102.1461,24.0483,1,297.661
7,244,244,600436.XSHG,600436,片仔癀,XSHG,2021-01-13,300.0,300.0,301.84,318.83,301.33,312.5,6655833,2067945650,34858,0.011000000000000001,1.0,188536625000.0,188536625000.0,0.0417,118.2592,106.4022,25.0503,1,310.697
8,245,245,600436.XSHG,600436,片仔癀,XSHG,2021-01-14,312.5,312.5,312.5,313.5,292.0,293.2,6998128,2089272998,35732,0.0116,1.0,176892603040.0,176892603040.0,-0.0618,110.9555,99.8308,23.5032,1,298.547
9,246,246,600436.XSHG,600436,片仔癀,XSHG,2021-01-15,293.2,293.2,291.0,293.0,272.03,284.19,8469331,2375240374,42128,0.013999999999999999,1.0,171456715068.0,171456715068.0,-0.0307,107.5459,96.76299999999999,22.781,1,280.452
10,247,247,600436.XSHG,600436,片仔癀,XSHG,2021-01-18,284.19,284.19,284.1,294.68,282.0,286.51,4029543,1165572224,23452,0.0067,1.0,172856410972.0,172856410972.0,0.0082,108.4238,97.5529,22.967,1,289.257
11,248,248,600436.XSHG,600436,片仔癀,XSHG,2021-01-19,286.51,286.51,288.8,294.38,282.69,283.5,3603602,1038252885,21371,0.006,1.0,171040426200.0,171040426200.0,-0.0105,107.2847,96.5281,22.7257,1,288.115
12,249,249,600436.XSHG,600436,片仔癀,XSHG,2021-01-20,283.5,283.5,281.51,293.48,281.51,293.2,3476342,1008052542,19747,0.0058,1.0,176892603040.0,176892603040.0,0.0342,110.9555,99.8308,23.5032,1,289.975
13,250,250,600436.XSHG,600436,片仔癀,XSHG,2021-01-21,293.2,293.2,294.98,301.0,294.8,297.99,3617751,1078452615,21251,0.006,1.0,179782492428.0,179782492428.0,0.0163,112.7682,101.4617,23.8872,1,298.1
14,251,251,600436.XSHG,600436,片仔癀,XSHG,2021-01-22,297.99,297.99,298.0,301.0,295.14,299.55,3552907,1061572093,20369,0.0059,1.0,180723667260.0,180723667260.0,0.0052,113.3585,101.9929,24.0123,1,298.79
15,252,252,600436.XSHG,600436,片仔癀,XSHG,2021-01-25,299.55,299.55,299.55,309.5,296.37,309.5,6032676,1832052451,31228,0.01,1.0,186726673400.0,186726673400.0,0.0332,117.1239,105.3807,24.8099,1,303.688
16,253,253,600436.XSHG,600436,片仔癀,XSHG,2021-01-26,309.5,309.5,309.5,310.0,296.0,297.05,4267345,1279831149,23511,0.0071,1.0,179215374260.0,179215374260.0,-0.0402,112.4125,101.1416,23.8119,1,299.913
17,254,254,600436.XSHG,600436,片仔癀,XSHG,2021-01-27,297.05,297.05,297.55,299.7,290.0,295.38,3015244,890026535,16603,0.005,1.0,178207834536.0,178207834536.0,-0.0056,111.7805,100.573,23.678,1,295.176
18,255,255,600436.XSHG,600436,片仔癀,XSHG,2021-01-28,295.38,295.38,291.84,297.21,288.1,288.53,3520373,1028455331,17906,0.0058,1.0,174075111716.0,174075111716.0,-0.0232,109.1883,98.2407,23.1289,1,292.144
19,256,256,600436.XSHG,600436,片仔癀,XSHG,2021-01-29,288.53,288.53,290.5,304.7,290.01,298.55,4648689,1386152971,25705,0.0077,1.0,180120350060.0,180120350060.0,0.0347,112.9801,101.6524,23.9321,1,298.181
20,257,257,600436.XSHG,600436,片仔癀,XSHG,2021-02-01,298.55,298.55,302.0,307.8,300.13,306.07,3996812,1218546622,20707,0.0066,1.0,184657295404.0,184657295404.0,0.0252,115.8259,104.2128,24.5349,1,304.88
21,258,258,600436.XSHG,600436,片仔癀,XSHG,2021-02-02,306.07,306.07,307.81,326.85,303.05,325.65,6194393,1962915112,31669,0.0103,1.0,196470246180.0,196470246180.0,0.064,123.2356,110.8796,26.1045,1,316.88599999999997
22,259,259,600436.XSHG,600436,片仔癀,XSHG,2021-02-03,325.65,325.65,326.0,338.6,323.28,325.63,5725004,1900344884,29290,0.0095,1.0,196458179836.0,196458179836.0,-0.0001,123.228,110.8728,26.1029,1,331.93800000000005
23,260,260,600436.XSHG,600436,片仔癀,XSHG,2021-02-04,325.63,325.63,322.5,338.0,321.2,337.0,4758467,1573389887,26414,0.0079,1.0,203317896400.0,203317896400.0,0.0349,127.5307,114.7441,27.0143,1,330.651
24,261,261,600436.XSHG,600436,片仔癀,XSHG,2021-02-05,337.0,337.0,337.25,349.9,330.18,344.5,4518132,1544654903,23750,0.0075,1.0,207842775400.0,207842775400.0,0.0223,130.3689,117.2978,27.6155,1,341.879
25,262,262,600436.XSHG,600436,片仔癀,XSHG,2021-02-08,344.5,344.5,344.67,378.95,344.67,378.95,6832521,2505397281,31101,0.0113,1.0,228627052940.0,228627052940.0,0.1,143.4058,129.0275,30.3771,1,366.68699999999995
26,263,263,600436.XSHG,600436,片仔癀,XSHG,2021-02-09,378.95,378.95,383.59,398.9,370.02,383.0,8171849,3137872165,36675,0.0135,1.0,231070487600.0,231070487600.0,0.0107,144.9385,130.4065,30.7017,1,383.986
27,264,264,600436.XSHG,600436,片仔癀,XSHG,2021-02-10,383.0,383.0,386.0,398.11,378.0,393.96,5864523,2277789892,28945,0.0097,1.0,237682844112.0,237682844112.0,0.0286,149.0861,134.1382,31.5803,1,388.402
28,265,265,600436.XSHG,600436,片仔癀,XSHG,2021-02-18,393.96,393.96,395.0,405.77,380.1,389.3,5732765,2254197215,32080,0.0095,1.0,234871385960.0,234871385960.0,-0.0118,147.3226,132.5516,31.2067,1,393.213
29,266,266,600436.XSHG,600436,片仔癀,XSHG,2021-02-19,389.3,389.3,386.0,395.99,360.03,382.98,6658977,2506192312,37134,0.011000000000000001,1.0,231058421256.0,231058421256.0,-0.0162,144.9309,130.3997,30.7001,1,376.36300000000006
30,267,267,600436.XSHG,600436,片仔癀,XSHG,2021-02-22,382.98,382.98,382.91,383.88,353.99,354.01,7888500,2874215616,44110,0.0131,1.0,213580321972.0,213580321972.0,-0.0756,133.9678,120.5358,28.3778,1,364.355
31,268,268,600436.XSHG,600436,片仔癀,XSHG,2021-02-23,354.01,354.01,344.0,356.88,340.5,344.73,5634783,1956466899,31390,0.0093,1.0,207981538356.0,207981538356.0,-0.0262,130.45600000000002,117.3761,27.6339,1,347.212
