,index,Unnamed: 0,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,711,711,600900.XSHG,600900,长江电力,XSHG,2021-01-04,19.16,19.16,19.11,19.13,18.81,18.9,55780608,1055731664,60121,0.0025,1.0,429821139447.0,429821139447.0,-0.0136,17.9379,15.9186,2.5973,1,18.926
1,712,712,600900.XSHG,600900,长江电力,XSHG,2021-01-05,18.9,18.9,18.85,18.9,18.71,18.89,48757746,914606873,57551,0.0021,1.0,429593720855.0,429593720855.0,-0.0005,17.9284,15.9102,2.5959,1,18.758
2,713,713,600900.XSHG,600900,长江电力,XSHG,2021-01-06,18.89,18.89,18.78,19.21,18.73,19.21,52294118,993820924,56347,0.0023,1.0,436871115808.0,436871115808.0,0.0169,18.2321,16.1797,2.6399,1,19.004
3,714,714,600900.XSHG,600900,长江电力,XSHG,2021-01-07,19.21,19.21,19.31,19.57,19.03,19.23,62097458,1194728670,70678,0.0027,1.0,437325952993.0,437325952993.0,0.001,18.2511,16.1966,2.6426,1,19.24
4,715,715,600900.XSHG,600900,长江电力,XSHG,2021-01-08,19.23,19.23,19.3,19.45,19.1,19.34,57476307,1106810220,58375,0.0025,1.0,439827557508.0,439827557508.0,0.0057,18.3555,16.2892,2.6577,1,19.257
5,716,716,600900.XSHG,600900,长江电力,XSHG,2021-01-11,19.34,19.34,19.35,19.42,19.05,19.1,56735041,1090970656,68706,0.0025,1.0,434369511293.0,434369511293.0,-0.0124,18.1277,16.0871,2.6247,1,19.229
6,717,717,600900.XSHG,600900,长江电力,XSHG,2021-01-12,19.1,19.1,19.1,19.16,18.83,19.16,48818342,926016751,62923,0.0021,1.0,435734022847.0,435734022847.0,0.0031,18.1846,16.1376,2.633,1,18.969
7,718,718,600900.XSHG,600900,长江电力,XSHG,2021-01-13,19.16,19.16,19.16,19.45,18.95,19.42,56515430,1089220876,52928,0.0025,1.0,441646906247.0,441646906247.0,0.0136,18.4314,16.3566,2.6687,1,19.273
8,719,719,600900.XSHG,600900,长江电力,XSHG,2021-01-14,19.42,19.42,19.35,19.61,19.15,19.18,44384843,858276872,52839,0.002,1.0,436188860031.0,436188860031.0,-0.0124,18.2036,16.1544,2.6357,1,19.337
9,720,720,600900.XSHG,600900,长江电力,XSHG,2021-01-15,19.18,19.18,19.1,19.32,19.03,19.2,35074136,672641251,35217,0.0015,1.0,436643697216.0,436643697216.0,0.001,18.2226,16.1713,2.6385,1,19.178
