,index,Unnamed: 0,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,0,0,600036.XSHG,600036,招商银行,XSHG,2021-01-04,43.95,43.95,43.23,43.78,42.02,43.17,154952285,6608868849,184994,0.0075,1.0,890551529748.0,1088740734550.0,-0.0177,11.8045,10.6596,1.548,1,42.651
1,1,1,600036.XSHG,600036,招商银行,XSHG,2021-01-05,43.17,43.17,42.76,42.8,41.44,42.18,138717699,5809639049,214491,0.0067,1.0,870128874792.0,1063773087410.0,-0.0229,11.5338,10.4151,1.5125,1,41.881
2,2,2,600036.XSHG,600036,招商银行,XSHG,2021-01-06,42.18,42.18,42.1,44.2,42.0,44.15,120064563,5188622737,149299,0.0058,1.0,910767895260.0,1113456183240.0,0.0467,12.0725,10.9016,1.5832,1,43.215
3,3,3,600036.XSHG,600036,招商银行,XSHG,2021-01-07,44.15,44.15,44.29,45.97,44.26,45.9,107832187,4869741128,139317,0.0052,1.0,946868547960.0,1157590913040.0,0.0396,12.550999999999998,11.3337,1.6459,1,45.16
4,4,4,600036.XSHG,600036,招商银行,XSHG,2021-01-08,45.9,45.9,46.29,47.02,45.81,46.6,129959481,6021482985,148326,0.0063,1.0,961308809040.0,1175244804960.0,0.0153,12.7424,11.5065,1.671,1,46.333999999999996
5,5,5,600036.XSHG,600036,招商银行,XSHG,2021-01-11,46.6,46.6,46.58,49.17,46.49,48.42,144523356,6992740146,151772,0.006999999999999999,1.0,998853487848.0,1221144923950.0,0.0391,13.2401,11.9559,1.7363,1,48.385
6,6,6,600036.XSHG,600036,招商银行,XSHG,2021-01-12,48.42,48.42,48.55,50.05,47.56,49.7,104448591,5103986009,116767,0.0051,1.0,1025258536680.0,1253426326320.0,0.0264,13.5901,12.272,1.7822,1,48.86600000000001
7,7,7,600036.XSHG,600036,招商银行,XSHG,2021-01-13,49.7,49.7,49.31,49.98,48.88,49.4,64910979,3207741653,86807,0.0031,1.0,1019069853360.0,1245860372640.0,-0.006,13.508,12.1979,1.7714,1,49.418
8,8,8,600036.XSHG,600036,招商银行,XSHG,2021-01-14,49.4,49.4,49.4,50.08,48.56,49.05,70377099,3467710708,83144,0.0034,1.0,1011849722820.0,1237033426680.0,-0.0071,13.4123,12.1115,1.7589,1,49.273
9,9,9,600036.XSHG,600036,招商银行,XSHG,2021-01-15,49.05,49.05,50.5,53.89,50.48,51.14,177574522,9232542839,174953,0.0086,1.0,1054964216620.0,1289742903980.0,0.0426,13.9838,12.6275,1.8338,1,51.992
10,10,10,600036.XSHG,600036,招商银行,XSHG,2021-01-18,51.14,51.14,51.5,53.08,51.2,51.92,123764160,6463924980,140598,0.006,1.0,1071054793250.0,1309414383550.0,0.0153,14.1971,12.8201,1.8618,1,52.228
11,11,11,600036.XSHG,600036,招商银行,XSHG,2021-01-19,51.92,51.92,52.3,53.23,51.49,51.85,90188002,4710719576,122036,0.0044,1.0,1069610767140.0,1307648994360.0,-0.0013,14.177999999999999,12.8029,1.8593,1,52.232
12,12,12,600036.XSHG,600036,招商银行,XSHG,2021-01-20,51.85,51.85,52.1,53.12,50.99,51.72,79228118,4123860428,107233,0.0038,1.0,1066929004370.0,1304370414430.0,-0.0025,14.1424,12.7708,1.8546,1,52.05
13,13,13,600036.XSHG,600036,招商银行,XSHG,2021-01-21,51.72,51.72,52.97,53.5,52.15,52.64,73671459,3886756922,107191,0.0036,1.0,1085907633220.0,1327572672380.0,0.0178,14.394,12.9979,1.8876,1,52.758
14,14,14,600036.XSHG,600036,招商银行,XSHG,2021-01-22,52.64,52.64,52.85,52.85,51.0,51.64,87000132,4492606303,121536,0.0042,1.0,1065278688820.0,1302352826780.0,-0.019,14.1206,12.751,1.8518,1,51.638999999999996
15,15,15,600036.XSHG,600036,招商银行,XSHG,2021-01-25,51.64,51.64,51.1,52.46,50.1,52.11,86536206,4438842570,129449,0.0042,1.0,1074974292680.0,1314206154220.0,0.0091,14.2491,12.867,1.8686,1,51.295
16,16,16,600036.XSHG,600036,招商银行,XSHG,2021-01-26,52.11,52.11,52.0,53.1,51.0,51.4,60117533,3126374838,96213,0.0029,1.0,1060327742160.0,1296300063840.0,-0.0136,14.0549,12.6917,1.8432,1,52.004
17,17,17,600036.XSHG,600036,招商银行,XSHG,2021-01-27,51.4,51.4,51.61,52.9,51.61,52.0,60923156,3187049336,84724,0.003,1.0,1072705108800.0,1311431971200.0,0.0117,14.219000000000001,12.8399,1.8647,1,52.313
18,18,18,600036.XSHG,600036,招商银行,XSHG,2021-01-28,52.0,52.0,51.0,51.75,50.8,51.61,52386951,2684963891,77947,0.0025,1.0,1064659820480.0,1301596231420.0,-0.0075,14.1124,12.7436,1.8507,1,51.253
19,19,19,600036.XSHG,600036,招商银行,XSHG,2021-01-29,51.61,51.61,52.18,52.46,50.81,51.1,62148914,3211002062,91526,0.003,1.0,1054139058840.0,1288734110160.0,-0.0099,13.9729,12.6177,1.8324,1,51.666000000000004
20,20,20,600036.XSHG,600036,招商银行,XSHG,2021-02-01,51.1,51.1,51.0,52.78,50.48,52.4,79662587,4125446256,104844,0.0039,1.0,1080956686560.0,1321519909440.0,0.0254,14.3284,12.9387,1.879,1,51.786
21,21,21,600036.XSHG,600036,招商银行,XSHG,2021-02-02,52.4,52.4,52.35,52.8,51.6,51.97,72030553,3752480883,104163,0.0035,1.0,1072086240470.0,1310675375830.0,-0.0082,14.2108,12.8325,1.8636,1,52.096000000000004
22,22,22,600036.XSHG,600036,招商银行,XSHG,2021-02-03,51.97,51.97,52.07,54.0,51.49,53.05,76587606,4045314776,106613,0.0037,1.0,1094365500420.0,1337912809080.0,0.0208,14.5061,13.0992,1.9023,1,52.818999999999996
23,23,23,600036.XSHG,600036,招商银行,XSHG,2021-02-04,53.05,53.05,52.87,55.2,52.61,53.5,96910977,5229905917,125221,0.0047,1.0,1103648525400.0,1349261739600.0,0.0085,14.6292,13.2103,1.9185,1,53.966
24,24,24,600036.XSHG,600036,招商银行,XSHG,2021-02-05,53.5,53.5,54.06,55.94,53.7,54.74,115157754,6315430525,137211,0.0056,1.0,1129228416460.0,1380534348140.0,0.0232,14.9682,13.5165,1.9629,1,54.842
25,25,25,600036.XSHG,600036,招商银行,XSHG,2021-02-08,54.74,54.74,55.19,55.6,53.69,55.26,81637776,4479792762,96100,0.004,1.0,1139955467540.0,1393648667860.0,0.0095,15.1104,13.6449,1.9816,1,54.873999999999995
26,26,26,600036.XSHG,600036,招商银行,XSHG,2021-02-09,55.26,55.26,55.38,55.38,54.25,55.26,61900527,3393598043,114744,0.003,1.0,1139955467540.0,1393648667860.0,0.0,15.1104,13.6449,1.9816,1,54.823
