,index,Unnamed: 0,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,79,79,600276.XSHG,600276,恒瑞医药,XSHG,2021-01-04,111.46,111.46,111.99,113.69,111.0,111.2,36342265,4072713009,109758,0.0069,1.0,588886054480.0,592886930400.0,-0.0023,101.3183,104.416,20.9899,1,112.065
1,80,80,600276.XSHG,600276,恒瑞医药,XSHG,2021-01-05,111.2,111.2,111.2,116.66,111.19,113.23,41762795,4763614447,110142,0.0079,1.0,599636402417.0,603710315910.0,0.0183,103.1679,106.3222,21.3731,1,114.064
2,81,81,600276.XSHG,600276,恒瑞医药,XSHG,2021-01-06,113.23,113.23,113.25,115.87,112.0,113.72,28370017,3219508646,85106,0.0054,1.0,602231313988.0,606322857240.0,0.0043,103.6144,106.7823,21.4656,1,113.48299999999999
3,82,82,600276.XSHG,600276,恒瑞医药,XSHG,2021-01-07,113.72,113.72,114.86,115.0,111.8,115.0,32927605,3720602728,96470,0.0062,1.0,609009858500.0,613147455000.0,0.0113,104.7806,107.9842,21.7072,1,112.993
4,83,83,600276.XSHG,600276,恒瑞医药,XSHG,2021-01-08,115.0,115.0,115.12,116.87,112.15,113.22,30767605,3499188267,99086,0.0058,1.0,599583445038.0,603656998740.0,-0.0155,103.1588,106.3128,21.3712,1,113.73
5,84,84,600276.XSHG,600276,恒瑞医药,XSHG,2021-01-11,113.22,113.22,112.32,114.15,110.0,111.3,27201138,3055535865,84852,0.0051,1.0,589415628270.0,593420102100.0,-0.017,101.4094,104.5099,21.0088,1,112.331
6,85,85,600276.XSHG,600276,恒瑞医药,XSHG,2021-01-12,111.3,111.3,111.29,114.52,110.0,114.1,28638791,3236967861,82206,0.0054,1.0,605444794055.0,608348914378.0,0.0252,103.9606,107.1391,21.5373,1,113.027
7,86,86,600276.XSHG,600276,恒瑞医药,XSHG,2021-01-13,114.1,114.1,114.01,114.49,111.62,112.57,23771906,2677656700,77896,0.0045,1.0,597326209174.0,600191387305.0,-0.0134,102.5666,105.7024,21.2485,1,112.64
8,87,87,600276.XSHG,600276,恒瑞医药,XSHG,2021-01-14,112.57,112.57,112.57,112.93,108.6,110.18,30041617,3321158495,84897,0.0057,1.0,584644236713.0,587448583577.0,-0.0212,100.3889,103.4582,20.7974,1,110.552
9,88,88,600276.XSHG,600276,恒瑞医药,XSHG,2021-01-15,110.18,110.18,111.5,111.5,108.01,109.83,24707098,2712379687,74928,0.0047,1.0,582787044093.0,585582482613.0,-0.0032,100.07,103.1296,20.7313,1,109.781
10,89,89,600276.XSHG,600276,恒瑞医药,XSHG,2021-01-18,109.83,109.83,109.03,110.34,107.39,107.83,23513196,2543706268,75924,0.0044,1.0,572174514837.0,574919048531.0,-0.0182,98.2478,101.2516,20.3538,1,108.182
11,90,90,600276.XSHG,600276,恒瑞医药,XSHG,2021-01-19,107.83,107.83,108.5,108.5,104.28,104.95,34814227,3676873518,122453,0.0066,1.0,556892472709.0,559563703453.0,-0.0267,95.6237,98.5473,19.8102,1,105.61399999999999
12,91,91,600276.XSHG,600276,恒瑞医药,XSHG,2021-01-20,104.95,104.95,105.9,107.53,105.0,105.97,30502727,3235274872,87327,0.0057,1.0,562304862629.0,565002054835.0,0.0097,96.5531,99.5051,20.0027,1,106.065
